predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
2.225827E-06,0.001,0.05476141,99.77742,5376.141,114
5.737306E-06,0.002,0,99.71313,100,0
0.0004912138,0.003,0,83.62621,100,0
0.001481123,0.004,0,62.97194,100,0
0.002480408,0.005,0,50.39184,100,0
0.003485917,0.006000001,0,41.90139,100,0
0.004484654,0.007000001,0,35.93351,100,0
0.005482591,0.008,0,31.46762,100,0
0.006482299,0.009000001,0,27.97446,100,0
0.007488172,0.01,0,25.11829,100,0
0.008494724,0.011,0,22.77525,100,0
0.009501722,0.012,0,20.81899,100,0
0.0105023,0.013,0,19.21309,100,0
0.01149704,0.014,0,17.87832,100,0
0.01248975,0.015,0,16.73498,100,0
0.0134866,0.016,0,15.70874,100,0
0.01449843,0.017,0,14.71512,100,0
0.01550346,0.018,0,13.86969,100,0
0.01650325,0.019,0,13.14081,100,0
0.01750964,0.02,0,12.45178,100,0
0.01850761,0.021,0,11.86854,100,0
0.01950211,0.022,0,11.35405,100,0
0.0204971,0.023,0,10.88219,100,0
0.021492,0.024,0,10.44999,100,0
0.02249196,0.025,0,10.03218,100,0
0.02349173,0.026,0,9.647183,100,0
0.0244935,0.027,0,9.283354,100,0
0.02549762,0.028,0,8.937078,100,0
0.02649213,0.029,0,8.647837,100,0
0.02749003,0.03,0,8.366573,100,0
0.02849254,0.031,0,8.088584,100,0
0.02948771,0.032,0,7.850904,100,0
0.03046656,0.033,0,7.677078,100,0
0.03144566,0.034,0,7.512771,100,0
0.03244256,0.035,0,7.306966,100,0
0.03343344,0.03599999,0,7.129306,100,0
0.03443068,0.03699999,0,6.944093,100,0
0.0354333,0.03799999,0,6.754443,100,0
0.03643169,0.03899999,0,6.585389,100,0
0.03743539,0.03999999,0,6.411497,100,0
0.03843253,0.04099999,0,6.262088,100,0
0.03942218,0.04199998,0,6.137622,100,0
0.04041862,0.04299998,0,6.003178,100,0
0.04142434,0.04399998,0,5.853729,100,0
0.04242865,0.04499998,0,5.714077,100,0
0.04342769,0.04599998,0,5.591938,100,0
0.04442981,0.04699998,0,5.468436,100,0
0.04542734,0.04799997,0,5.359663,100,0
0.04641482,0.04899997,0,5.27582,100,0
0.04740656,0.04999997,0,5.186821,100,0
0.04840676,0.05099997,0,5.084718,100,0
0.0494031,0.05199997,0,4.993977,100,0
0.0503975,0.05299997,0,4.910322,100,0
0.05139677,0.05399996,0,4.820736,100,0
