predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
2.810535,2.775544,2.789497,1.260699,0.5027198
2.796489,2.855026,2.775707,2.050314,2.778239
2.782514,2.840734,2.761846,2.049484,2.777035
2.815285,2.826514,2.840481,0.3972583,0.4941521
2.84788,2.812364,2.826723,1.262862,0.5105753
2.833624,2.798285,2.812391,1.262868,0.5040872
2.819438,2.784276,2.79808,1.262877,0.4957741
2.805324,2.770338,2.784241,1.262888,0.5018572
2.791281,2.756469,2.770402,1.262902,0.5054634
2.777307,2.74267,2.756628,1.26291,0.508928
2.763404,2.72894,2.742729,1.262913,0.5053118
2.74957,2.715278,2.728971,1.262918,0.5043156
2.735805,2.701684,2.715143,1.262928,0.4981606
2.722109,2.688159,2.701738,1.262941,0.5051284
2.708481,2.750728,2.687877,1.535841,2.284902
2.694922,2.736893,2.674677,1.533535,2.273228
2.719444,2.723127,2.736975,0.135261,0.5085267
2.74381,2.70943,2.723276,1.268927,0.5110535
2.73001,2.695801,2.709362,1.268965,0.5030243
2.716278,2.68224,2.696037,1.268998,0.5143673
2.702615,2.668748,2.682171,1.269036,0.5029777
2.68902,2.655322,2.668841,1.269077,0.5091213
2.675494,2.641964,2.655549,1.269113,0.5142042
2.662035,2.628673,2.64216,1.269154,0.5130764
2.648643,2.615448,2.628792,1.2692,0.5102196
2.635318,2.602289,2.615441,1.269241,0.5053968
2.62206,2.647629,2.6021,0.9657394,1.719619
2.608868,2.634285,2.589274,0.9648572,1.708653
2.624959,2.621008,123.3409,0.1507372,4605.859
2.640957,2.607797,2.621223,1.27157,0.5148523
2.627646,2.594652,2.607811,1.271626,0.5071784
2.614402,2.581573,2.594465,1.271678,0.4994043
2.601224,2.568559,2.581591,1.271735,0.5073553
2.588112,2.55561,2.568738,1.271788,0.5136951
2.575066,2.542726,2.55583,1.271837,0.5153602
2.562084,2.529907,2.542528,1.271883,0.4988975
2.549168,2.517151,2.530076,1.271934,0.5134642
2.536316,2.556293,45.27602,0.781496,1671.159
2.523529,2.543375,2.504321,0.7803096,1.535525
2.536722,2.530521,2.543427,0.2450495,0.5100164
2.549834,2.517732,2.530591,1.27505,0.5107607
2.536948,2.505006,2.517606,1.275113,0.5029811
2.524126,2.492344,2.504881,1.275182,0.5030109
2.511369,2.479745,2.492422,1.275257,0.5112104
2.498675,2.46721,2.479581,1.27532,0.5014192
2.486044,2.454737,2.467189,1.27539,0.5072498
2.473477,2.442326,2.454758,1.275467,0.5089976
2.460973,2.471783,2.442255,0.4373416,1.194638
2.448532,2.459237,2.429984,0.4352974,1.189496
2.457055,2.446753,2.459082,0.4210604,0.5039258
