predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
0.6032653,0.6059958,0.605077,0.450569,0.1516093
0.6042577,0.6069958,0.02873305,0.4510836,95.26635
0.6052504,0.6079957,0.6069865,0.4515377,0.1660021
0.6062316,0.6089957,0.6080113,0.4538891,0.1616481
0.6072249,0.6099957,0.6089168,0.4542297,0.1768707
0.6082258,0.6109957,0.6098642,0.4533399,0.1851854
0.6092164,0.6119957,0.6108284,0.454138,0.1907362
0.610212,0.6129957,0.6117632,0.4541167,0.2010528
0.611214,0.6139957,0.6132293,0.4530373,0.1248212
0.6122155,0.6149957,0.6141515,0.4520681,0.1372564
0.6132214,0.6159956,0.6151262,0.4503666,0.141146
0.6142182,0.6169956,0.6160966,0.4501584,0.1457184
0.6152146,0.6179956,0.6169938,0.4499989,0.1621103
0.6162234,0.6189956,0.6179914,0.4478565,0.1622336
0.6172266,0.6199956,0.6189304,0.446615,0.1718068
0.6182281,0.6209956,0.6198883,0.4456463,0.1783065
0.6192271,0.6219956,0.6208377,0.4451023,0.1861461
0.6202182,0.6229956,0.6218375,0.4458134,0.1858855
0.6212116,0.6239955,0.6231989,0.4461497,0.1276637
0.622209,0.6249955,0.6241631,0.4458555,0.1331911
0.6232051,0.6259955,0.6251502,0.4457527,0.135035
0.6242111,0.6269955,0.6260767,0.4440911,0.146541
0.6252183,0.6279955,0.6270304,0.4422354,0.1536824
0.6262149,0.6289955,0.6280175,0.4420725,0.1554849
0.6272197,0.6299955,0.6289315,0.4406045,0.1688905
0.6282253,0.6309955,0.6299207,0.4390183,0.1703326
0.6292154,0.6319954,0.630866,0.4398892,0.1787115
0.6302056,0.6329954,0.6317945,0.4407386,0.1897193
0.6311951,0.6339954,0.6327608,0.4416981,0.1947412
0.6321924,0.6349954,0.6342039,0.4414249,0.1246544
0.6331984,0.6359954,0.6351513,0.4397843,0.1327244
0.6341938,0.6369954,0.636086,0.4398143,0.1427528
0.6351939,0.6379954,0.6370502,0.4391063,0.1481438
0.6362014,0.6389953,0.6380039,0.4372345,0.1551598
0.6372023,0.6399953,0.6389701,0.4364116,0.1601886
0.6382018,0.6409953,0.04010309,0.4358052,93.74362
0.6392037,0.6419953,0.6408607,0.4348293,0.1767263
0.640204,0.6429953,0.6418186,0.4341159,0.1830052
0.6412033,0.6439953,0.6427743,0.4335437,0.1895886
0.6422055,0.6449953,0.6442363,0.4325296,0.1176761
0.6432089,0.6459953,0.6451188,0.4313249,0.13568
0.6442065,0.6469952,0.6461352,0.431036,0.1329276
0.6452062,0.6479952,0.6470617,0.4304168,0.144064
0.6462114,0.6489952,0.6480154,0.4289362,0.1509781
0.6472153,0.6499952,0.6489711,0.4276802,0.15755
0.648208,0.6509952,0.6499269,0.4281495,0.1641017
0.6491943,0.6519952,0.650912,0.4295863,0.1661355
0.650193,0.6529952,0.6517924,0.4291201,0.1841916
0.6511945,0.6539952,0.6528088,0.4282361,0.1813945
0.6521908,0.6549951,0.6542101,0.4281465,0.1198563
0.6531975,0.6559951,0.655193,0.4264671,0.1222722
0.6542062,0.6569951,0.6561237,0.4245026,0.1326372
0.6552079,0.6579951,0.6570732,0.4235856,0.1401082
0.6562039,0.6589951,0.6580645,0.4235489,0.1412071
0.6571988,0.6599951,0.6589847,0.4236748,0.1530857
0.6581871,0.6609951,0.6599154,0.4248103,0.1633414
0.6591711,0.6619951,0.6609213,0.4265816,0.1621943
0.6601673,0.662995,0.6618165,0.4265045,0.1777634
0.6611637,0.663995,0.6628413,0.4264098,0.1737614
0.6621575,0.664995,0.6637531,0.4266918,0.1867567
0.6631479,0.665995,0.6651794,0.427492,0.1224589
0.6641381,0.666995,0.6661101,0.4283167,0.1326683
0.6651381,0.667995,0.6671286,0.4276755,0.1296946
0.6661437,0.668995,0.6680425,0.4261987,0.1423662
0.6671458,0.669995,0.6689941,0.4252423,0.1493775
0.6681437,0.6709949,0.6699687,0.4249195,0.152939
0.6691383,0.6719949,0.6709141,0.4250943,0.1608451
0.67013,0.6729949,0.6718447,0.4256938,0.1709063
0.6711271,0.6739949,0.04286444,0.4254866,93.64024
0.6721318,0.6749949,0.6737856,0.4241587,0.1791597
0.6731383,0.6759949,0.6751951,0.4225702,0.1183108
0.6741394,0.6769949,0.6761655,0.4217787,0.122503
0.6751356,0.6779948,0.6770983,0.4217193,0.1322389
0.6761384,0.6789948,0.6780499,0.4206856,0.1391722
0.6771392,0.6799948,0.6790328,0.4199442,0.1414745
0.6781358,0.6809948,0.6799676,0.4198265,0.1508333
0.6791351,0.6819948,0.6809255,0.4193158,0.1567824
0.6801327,0.6829948,0.6818708,0.4190422,0.1645642
0.6811362,0.6839948,0.6828161,0.4179241,0.1723232
0.6821395,0.6849948,0.6838033,0.4168355,0.1739425
0.6831359,0.6859947,0.6852275,0.4167404,0.1118421
0.6841317,0.6869947,0.6861498,0.4167499,0.1229843
0.6851348,0.6879947,0.6871328,0.4156849,0.1252833
0.6861365,0.6889947,0.6880655,0.4148394,0.1348598
0.6871382,0.6899947,0.6890673,0.4139877,0.1344052
0.6881397,0.6909947,0.6899332,0.4131643,0.153619
0.6891374,0.6919947,0.6909663,0.4129032,0.1486079
0.6901367,0.6929947,0.6918865,0.412402,0.1599103
0.6911392,0.6939946,0.6928235,0.4114556,0.168758
0.6921459,0.6949946,0.6938231,0.4098859,0.1685667
0.6931527,0.6959946,0.6952013,0.4083292,0.1139776
0.6941597,0.6969946,0.6961927,0.4067258,0.1150541
0.6951683,0.6979946,0.6971506,0.4049134,0.1209181
0.6961678,0.6989946,0.6980895,0.4044023,0.129477
0.6971679,0.6999946,0.6990349,0.4038076,0.1371003
0.6981763,0.7009946,0.6999802,0.4020326,0.1447018
0.6991802,0.7019945,0.7009694,0.4008995,0.1460325
0.7001768,0.7029945,0.7018938,0.4008126,0.1565758
0.7011701,0.7039945,0.7028517,0.4011915,0.1623393
0.7021684,0.7049945,0.7038242,0.4008676,0.1660066
0.7031662,0.7059945,0.7047695,0.4006122,0.1735134
0.7041668,0.7069945,0.03221083,0.3999612,95.44398
0.7051697,0.7079945,0.7071202,0.3989754,0.123487
0.7061735,0.7089944,0.7081178,0.3978747,0.1236407
0.7071822,0.7099944,0.7090547,0.3960969,0.1323569
0.7081811,0.7109944,0.7099938,0.3956824,0.1407385
0.7091721,0.7119944,0.7109725,0.3963907,0.1435211
0.7101666,0.7129944,0.7119178,0.3966039,0.150994
0.7111661,0.7139944,0.7128631,0.3961236,0.1584377
0.7121653,0.7149944,0.7138315,0.3956779,0.1626428
0.7131608,0.7159944,0.7147893,0.3957497,0.1683012
0.7141521,0.7169943,0.7162031,0.3964114,0.1103568
0.7151525,0.7179943,0.7171777,0.3958012,0.1137312
0.7161567,0.7189943,0.7180728,0.3946704,0.1281717
0.717158,0.7199943,0.719106,0.3939402,0.1233826
0.7181724,0.7209943,0.7200408,0.3913849,0.1322473
0.719181,0.7219943,0.7209548,0.389654,0.1439769
0.7201822,0.7229943,0.721944,0.3889419,0.14527
0.7211869,0.7239943,0.7228767,0.3877544,0.1543559
0.7221869,0.7249942,0.7238283,0.3872277,0.1608187
0.7231858,0.7259942,0.7247903,0.3868422,0.165827
0.7241916,0.7269942,0.7262377,0.3855066,0.1040671
0.7251995,0.7279942,0.7271453,0.3838881,0.1166148
0.7261946,0.7289942,0.728147,0.3840401,0.1162095
0.7271877,0.7299942,0.7291154,0.384453,0.120386
0.7281869,0.7309942,0.7299958,0.3840331,0.1365781
0.7291813,0.7319942,0.7310269,0.3842658,0.132141
0.730183,0.7329941,0.7319387,0.3835138,0.1439874
0.7311894,0.7339941,0.7329196,0.3821143,0.146398
0.7321854,0.7349941,0.7338545,0.3821459,0.1550544
0.7331848,0.7359941,0.7347977,0.3817076,0.1625616
0.7341911,0.7369941,0.7357681,0.3803244,0.1663525
0.7351969,0.7379941,0.737163,0.3790175,0.1126117
0.7361987,0.7389941,0.7381355,0.3782707,0.1161776
0.7371886,0.739994,0.7391059,0.3791128,0.1200157
0.7381805,0.740994,0.03089161,0.3797031,95.83106
0.7391812,0.741994,0.7410133,0.379095,0.1321756
0.7401825,0.742994,0.7419398,0.3784003,0.1418891
0.7411847,0.743994,0.7429122,0.3776033,0.1453996
0.7421945,0.744994,0.7438847,0.3757763,0.1488928
0.7432023,0.745994,0.7448092,0.3742179,0.1588245
0.7441992,0.746994,0.7458004,0.3741319,0.1597769
0.7451928,0.7479939,0.7471829,0.3744923,0.1084287
0.7461867,0.7489939,0.7481596,0.3747961,0.1113955
0.7471912,0.7499939,0.7490903,0.3737003,0.1204898
0.7481902,0.7509939,0.7501004,0.3733297,0.1189801
0.74918,0.7519939,0.7510164,0.3741966,0.1299899
0.7501763,0.7529939,0.7519513,0.3741825,0.1384612
0.7511714,0.7539939,0.7529384,0.3743345,0.1399851
0.7521663,0.7549939,0.7538795,0.3745097,0.1475997
0.753165,0.7559938,0.7548165,0.3741878,0.1557381
0.7541661,0.7569938,0.7557847,0.3735517,0.1597213
0.755164,0.7579938,0.7572069,0.3733263,0.1038136
0.756157,0.7589938,0.7582191,0.3737532,0.1020669
0.7571604,0.7599938,0.759108,0.3728223,0.1165516
0.7581673,0.7609938,0.7600637,0.3714238,0.1222179
0.7591709,0.7619938,0.76103,0.3704514,0.1264849
0.7601719,0.7629938,0.7620087,0.3698331,0.1291002
0.7611717,0.7639937,0.7629247,0.3693802,0.1399238
0.7621714,0.7649937,0.7639015,0.3689363,0.1427796
0.763172,0.7659937,0.7648531,0.3683691,0.1489117
0.7641783,0.7669937,0.765767,0.3670728,0.1599391
0.7651786,0.7679937,0.7672414,0.366556,0.09795266
0.7661763,0.7689937,0.768193,0.3663739,0.1041191
0.767176,0.7699937,0.7691697,0.3659368,0.1070106
0.7681717,0.7709936,0.7700418,0.3660111,0.1234545
0.7691658,0.7719936,0.7710478,0.3663014,0.1225225
0.7701526,0.7729936,0.772037,0.3675316,0.1237597
0.7711426,0.7739936,0.041664,0.3683505,94.61701
0.7721455,0.7749936,0.773892,0.3674983,0.1421448
0.7731484,0.7759936,0.7748499,0.3666484,0.1473844
0.7741547,0.7769936,0.7758287,0.3653634,0.1499257
0.7751631,0.7779936,0.7767844,0.3638212,0.1554177
0.7761653,0.7789935,0.7781815,0.3630634,0.104244
0.7771705,0.7799935,0.779154,0.3619331,0.1076331
0.7781662,0.7809935,0.780093,0.3620192,0.1153104
0.7791696,0.7819935,0.7810383,0.3611218,0.1221448
0.7801921,0.7829935,0.7820359,0.3577755,0.1223009
0.7812011,0.7839935,0.7829624,0.3561711,0.131519
0.7822006,0.7849935,0.7839224,0.3557857,0.1364464
0.7832074,0.7859935,0.7848572,0.354461,0.1445614
0.7842063,0.7869934,0.7858485,0.3541545,0.1454835
0.7852101,0.7879934,0.7867959,0.3532134,0.1519704
0.7862238,0.7889934,0.7881971,0.3510282,0.1009283
0.7872228,0.7899934,0.7891446,0.3507121,0.1074477
0.7882248,0.7909934,0.7901359,0.3500201,0.108412
