predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
2.163783,2.166025,2.164841,0.1035447,0.05469473
2.164786,2.167025,2.165761,0.1033208,0.0583552
2.165788,2.168025,2.1673,0.1031852,0.033453
2.166786,2.169025,2.168128,0.1032366,0.04135179
2.167787,2.170025,2.169187,0.1031451,0.03864094
2.168789,2.171025,2.170052,0.1029987,0.04480592
2.169785,2.172025,2.17104,0.103105,0.04536707
2.170787,2.173025,2.171989,0.1029807,0.0476722
2.171787,2.174025,0.1362386,0.1029553,93.73335
2.172775,2.175025,2.173963,0.1034232,0.04881222
2.173772,2.176025,2.174825,0.1035071,0.05513367
2.174776,2.177025,2.175791,0.1032844,0.05666347
2.175787,2.178025,2.177272,0.1027115,0.03455826
2.1768,2.179024,2.178209,0.1020954,0.03743097
2.177808,2.180024,2.179108,0.1016549,0.04203995
2.178817,2.181024,2.180087,0.1012257,0.04298264
2.179816,2.182024,2.181049,0.1012011,0.04470026
2.180818,2.183024,2.18204,0.1010455,0.04507295
2.181814,2.184024,2.182944,0.1011849,0.04947349
2.182806,2.185024,2.183889,0.1015314,0.05194958
2.1838,2.186024,2.184885,0.1017249,0.05212214
2.184795,2.187024,2.185834,0.1019291,0.05440943
2.185805,2.188024,2.18726,0.1013922,0.03489068
2.186816,2.189024,2.188159,0.1008448,0.03948186
2.187812,2.190024,2.189184,0.1009948,0.03832075
2.188813,2.191024,2.190079,0.1008725,0.04309116
2.189816,2.192024,2.19115,0.1007177,0.03984115
2.190817,2.193023,2.191932,0.1006066,0.04974882
2.19182,2.194023,2.193049,0.1004303,0.04440146
2.192812,2.195023,2.193923,0.1007213,0.05010539
2.19381,2.196023,2.19476,0.1007623,0.0575195
2.194813,2.197023,2.195915,0.1005862,0.0504613
2.195811,2.198023,2.196822,0.1006489,0.05463611
2.196809,2.199023,2.198261,0.1007007,0.0346511
2.197815,2.200023,2.199123,0.1003623,0.04092087
2.198816,2.201023,2.200122,0.1002517,0.04091311
2.19981,2.202023,2.201076,0.1005094,0.04299502
2.200809,2.203023,2.202013,0.1004638,0.0458326
2.201811,2.204023,2.203021,0.1003533,0.04544402
