predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
0,0,0,NaN,NaN,0
3.835064E-06,0,1899.998,Infinity,Infinity,114
1.807421E-06,0.0005,0,99.63852,100,0
8.832736E-06,0.0009987501,0,99.11562,100,0
0.0002652693,0.001496253,0,82.2711,100,0
0.0007603338,0.001992513,0,61.84046,100,0
0.001254714,0.002487531,0,49.55989,100,0
0.001740885,0.002981313,0,41.60675,100,0
0.002232694,0.003473859,0,35.72871,100,0
0.002727452,0.003965175,0,31.21484,100,0
0.003226859,0.004455262,0,27.57195,100,0
0.003731086,0.004944124,0,24.53493,100,0
0.004219037,0.005431763,0,22.32657,100,0
0.004695959,0.005918184,0,20.65202,100,0
0.005177012,0.006403388,0,19.15199,100,0
0.005668825,0.00688738,0,17.69257,100,0
0.006164958,0.007370162,0,16.35248,100,0
0.006648908,0.007851737,0,15.31927,100,0
0.007127919,0.008332107,0,14.45238,100,0
0.007613976,0.008811277,0,13.58828,100,0
0.008091569,0.009289249,0,12.89318,100,0
0.008565521,0.009766025,0,12.29266,100,0
0.00904363,0.01024161,0,11.69718,100,0
0.009519045,0.01071601,0,11.16984,100,0
0.009985631,0.01118922,0,10.75665,100,0
0.01044977,0.01166124,0,10.38892,100,0
0.01092618,0.01213209,0,9.939837,100,0
0.01140405,0.01260176,0,9.504291,100,0
0.01188678,0.01307025,0,9.05468,100,0
0.01236275,0.01353758,0,8.678259,100,0
0.01283141,0.01400374,0,8.371501,100,0
0.01330392,0.01446873,0,8.050503,100,0
0.01376699,0.01493255,0,7.805543,100,0
0.01423301,0.01539522,0,7.549205,100,0
0.01469814,0.01585674,0,7.306649,100,0
0.01515557,0.01631709,0,7.118444,100,0
0.01561832,0.0167763,0,6.902505,100,0
0.01608169,0.01723436,0,6.688231,100,0
0.01653439,0.01769128,0,6.539277,100,0
0.01699245,0.01814705,0,6.362446,100,0
0.01746211,0.01860168,0,6.126187,100,0
0.01791702,0.01905518,0,5.97296,100,0
0.01836333,0.01950754,0,5.865447,100,0
0.01881555,0.01995877,0,5.727903,100,0
0.0192705,0.02040887,0,5.57784,100,0
0.01971797,0.02085785,0,5.46498,100,0
0.02016855,0.02130571,0,5.337339,100,0
0.02061669,0.02175244,0,5.221261,100,0
0.02105967,0.02219806,0,5.128335,100,0
0.02151586,0.02264257,0,4.976064,100,0
0.02197313,0.02308596,0,4.820367,100,0
0.02242002,0.02352824,0,4.710176,100,0
0.02286063,0.02396942,0,4.625859,100,0
0.02330888,0.0244095,0,4.508983,100,0
0.02375679,0.02484848,0,4.393391,100,0
0.02419952,0.02528635,0,4.298116,100,0
0.02464433,0.02572314,0,4.193909,100,0
0.02508881,0.02615883,0,4.090469,100,0
0.02552994,0.02659343,0,3.999078,100,0
0.02595957,0.02702695,0,3.949308,100,0
0.02638919,0.02745938,0,3.897377,100,0
0.02682915,0.02789073,0,3.806214,100,0
0.02726862,0.02832101,0,3.715917,100,0
0.02770028,0.02875021,0,3.651873,100,0
0.02813212,0.02917833,0,3.585574,100,0
0.02856665,0.02960538,0,3.508598,100,0
0.02900172,0.03003137,0,3.428586,100,0
0.02942811,0.03045629,0,3.375945,100,0
0.02984642,0.03088015,0,3.347575,100,0
0.03027063,0.03130295,0,3.297832,100,0
0.03070095,0.0317247,0,3.226972,100,0
0.03112566,0.03214538,0,3.172242,100,0
0.03154266,0.03256502,0,3.139434,100,0
0.03196591,0.03298361,0,3.085475,100,0
0.03238552,0.03340115,0,3.040714,100,0
0.03279461,0.03381765,0,3.025175,100,0
0.03321256,0.0342331,0,2.981159,100,0
0.03363692,0.03464752,0,2.916805,100,0
0.03405652,0.0350609,0,2.86467,100,0
0.03447555,0.03547325,0,2.812552,100,0
0.03489263,0.03588457,0,2.764233,100,0
0.03530619,0.03629486,0,2.723974,100,0
0.03571551,0.03670412,0,2.693468,100,0
0.03611659,0.03711236,0,2.683123,100,0
0.03651832,0.03751958,0,2.668637,100,0
0.0369374,0.03792578,0,2.606078,100,0
0.03736339,0.03833096,0,2.52427,100,0
0.0377777,0.03873514,0,2.471753,100,0
0.03818169,0.0391383,0,2.444169,100,0
0.03858425,0.03954045,0,2.418293,100,0
0.03897988,0.0399416,0,2.407827,100,0
0.03937484,0.04034175,0,2.396789,100,0
0.03977899,0.04074089,0,2.361027,100,0
0.0401861,0.04113904,0,2.316399,100,0
0.04059575,0.04153619,0,2.26416,100,0
0.04099622,0.04193235,0,2.232472,100,0
0.041395,0.04232752,0,2.203102,100,0
0.04179975,0.0427217,0,2.158027,100,0
0.04219454,0.0431149,0,2.134657,100,0
0.04258671,0.04350711,0,2.115508,100,0
0.04298363,0.04389834,0,2.083704,100,0
0.04338057,0.0442886,0,2.050245,100,0
0.04377281,0.04467788,0,2.02576,100,0
0.04415379,0.04506618,0,2.024565,100,0
0.04453653,0.04545351,0,2.017402,100,0
0.04493232,0.04583988,0,1.979854,100,0
0.04533248,0.04622528,0,1.931409,100,0
0.04572938,0.04660971,0,1.888736,100,0
0.04611935,0.04705232,0,1.982818,100,0
0.04650152,0.04749381,0,2.089297,100,0
0.04691586,0.0479342,0,2.124457,100,0
0.04735358,0.0483735,0,2.108414,100,0
0.04777857,0.04881169,0,2.116557,100,0
0.04820706,0.04924879,0,2.115245,100,0
0.04863432,0.0496848,0,2.114288,100,0
0.04906546,0.05011971,0,2.103471,100,0
0.04951115,0.05055354,0,2.061949,100,0
0.04995374,0.05098629,0,2.025145,100,0
0.05037852,0.05141795,0,2.021525,100,0
0.05080783,0.05184853,0,2.007195,100,0
0.05124168,0.05227804,0,1.982402,100,0
0.05167102,0.05270647,0,1.96457,100,0
0.05209497,0.05313383,0,1.955191,100,0
0.0525235,0.05356013,0,1.935435,100,0
0.05296387,0.05398535,0,1.892147,100,0
0.05339378,0.05440952,0,1.866838,100,0
0.05381396,0.05483262,0,1.85776,100,0
0.05423025,0.05525467,0,1.853999,100,0
0.05465191,0.05567566,0,1.838769,100,0
0.05508225,0.0560956,0,1.806463,100,0
0.05551193,0.05651449,0,1.773983,100,0
0.05593453,0.05693233,0,1.752601,100,0
0.05635355,0.05734913,0,1.735992,100,0
0.05676936,0.05776488,0,1.723407,100,0
0.05717869,0.05817959,0,1.720375,100,0
0.05759478,0.05859327,0,1.704109,100,0
0.0580177,0.05900592,0,1.674773,100,0
0.05843714,0.05941753,0,1.650011,100,0
0.05885108,0.05982811,0,1.633071,100,0
0.05926676,0.06023767,0,1.611794,100,0
0.0596755,0.06064621,0,1.600611,100,0
0.06008671,0.06104037,0,1.562342,100,0
0.06050508,0.06143354,0,1.511333,100,0
0.06091284,0.06182573,0,1.476553,100,0
0.06131049,0.06221694,0,1.456922,100,0
0.06169626,0.06260718,0,1.45497,100,0
0.06208907,0.06299643,0,1.440344,100,0
0.06248539,0.06338472,0,1.418843,100,0
0.06287839,0.06377203,0,1.4013,100,0
0.06327236,0.06415838,0,1.380993,100,0
0.06366042,0.06454376,0,1.368592,100,0
0.06404348,0.06492818,0,1.362578,100,0
0.0644282,0.06531164,0,1.35265,100,0
0.06481444,0.06569414,0,1.339081,100,0
0.06520104,0.06607568,0,1.323692,100,0
0.06558056,0.06645627,0,1.317726,100,0
0.06595234,0.06683591,0,1.322002,100,0
0.0663332,0.06721459,0,1.311306,100,0
0.06670888,0.06759233,0,1.307031,100,0
