timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0.04347826,-0.02301649,-0.001715205,0.008042965,0.003766966,-0.00993799,0.003725604
0.08695652,0.02067716,0.02435904,-0.0007374367,-0.0005109733,0.004229623,0.005463499
0.1304348,-0.01538175,0.001508056,-0.003820864,0.0003754835,0.001350536,0.003624093
0.173913,-0.02247431,0.01804698,0.01149489,0.01124863,0.00193049,0.01009117
0.2173913,-0.004369291,-0.002867291,0.02133115,0.004093671,-0.003440867,-0.006291726
0.2608696,-0.003651904,-0.0404322,-0.02966515,0.01116183,-0.003632397,-0.001356557
0.3043478,-0.0134619,-0.01590416,-0.0003280484,-0.00312436,-0.003280085,-0.003500992
0.3478261,0.002763426,-0.008058281,0.02118487,-0.00323494,-0.01284994,0.01191306
0.3913043,0.006662739,0.0259074,0.01621398,0.001065406,0.005457729,-0.0001494008
0.4347826,-0.01145679,0.03587715,-0.01252381,0.006838063,0.00590151,-0.008709405
0.4782608,0.02980067,0.02275681,0.01657739,0.001199941,-0.002546482,-0.0005057275
0.5217391,0.0006002377,0.03624659,0.009994829,-0.002996926,0.003916109,-0.0002628165
0.5652173,0.0336785,0.03047716,0.01110236,0.004172139,0.0047059,0.0008480899
0.6086956,-0.001554058,0.004280044,-0.00436504,-0.0005032923,-0.006428208,0.001979913
0.6521738,-0.0277814,0.02606149,0.01537914,0.006451042,0.01197792,0.0008433827
0.6956521,0.01694762,0.006196269,-0.001138589,-0.001827713,-0.002569238,-0.003402669
0.7391303,-0.01921168,0.003867552,-0.01198827,0.0009462353,0.003447958,-0.004127508
0.7826086,0.001501997,-0.0003323613,-0.01641237,-0.003261466,-0.009472547,0.003779148
0.8260868,-7.907771E-06,0.01756126,-0.03223997,0.006082457,-0.001171617,-0.008103129
0.8695651,-0.006074763,-0.01801083,-0.03068234,0.006236983,0.0123105,0.0009165307
0.9130433,0.00798336,0.0119127,0.03532848,0.0005567827,-0.003770267,0.002874007
0.9565216,-0.03166784,-0.03899422,0.01235922,-0.009360678,-0.007446852,0.002583706
0.9999998,-0.02754973,0.005229457,0.02632726,-0.000738797,-0.00250161,0.008361297
1.043478,0.00553421,-0.01054746,0.02265167,0.01255925,0.002079417,-0.01099162
1.086956,0.02343493,0.03515101,-0.008688184,0.007279957,-0.002595309,0.003688085
1.130435,0.04745172,-0.03749517,0.002504389,0.004500258,-0.003605253,0.002626937
1.173913,0.02652575,0.01562365,0.01400672,0.009572166,-0.003005109,-0.001617872
1.217391,0.025473,0.0146207,-0.01313491,0.01189735,-0.003714569,-0.004628563
1.260869,-0.02202656,0.01845041,-0.000128966,-0.01390896,-0.001670849,-0.006635014
1.304348,-0.03292944,0.01588818,-0.03984748,0.002189675,0.0004629828,0.003712275
1.347826,-0.01916792,-0.02837412,-0.003423894,0.004758319,-0.008153306,-0.005322966
1.391304,-0.01182602,0.007681395,0.01060284,0.002735222,-0.003779124,-0.004740412
1.434782,0.01577955,-0.00523529,-0.0234681,-0.003118761,0.001927458,-0.006918477
1.478261,0.009707109,-0.01951405,-0.002487536,0.006264048,0.003635981,-0.002492436
1.521739,-0.02366265,0.01273742,-0.03744162,-0.002147634,0.004820912,-0.006006861
1.565217,0.02214042,-0.002393753,-0.02438714,-0.005263805,-0.004692645,0.007774303
