predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
0,0,0,NaN,NaN,0
5.302494E-06,0.001,1860,99.46975,1.859999E+08,114
9.040728E-06,0.002,0,99.54797,100,0
0.0004983857,0.003,0,83.38715,100,0
0.001505025,0.004,0,62.37438,100,0
0.002508033,0.005,0,49.83934,100,0
0.003497451,0.006000001,0,41.70916,100,0
0.004485131,0.007000001,0,35.92671,100,0
0.005487315,0.008,0,31.40857,100,0
0.006491702,0.009000001,0,27.86998,100,0
0.007488215,0.01,0,25.11785,100,0
0.008480716,0.011,0,22.90258,100,0
0.009475219,0.012,0,21.03985,100,0
0.0104711,0.013,0,19.45306,100,0
0.01146992,0.014,0,18.07203,100,0
0.01246375,0.015,0,16.90836,100,0
0.01345315,0.016,0,15.91784,100,0
0.01444534,0.017,0,15.02741,100,0
0.01543897,0.018,0,14.22796,100,0
0.0164355,0.019,0,13.49739,100,0
0.01744211,0.02,0,12.78945,100,0
0.01843849,0.021,0,12.19765,100,0
0.01941952,0.022,0,11.72948,100,0
0.0204098,0.023,0,11.26176,100,0
0.02141133,0.024,0,10.78614,100,0
0.02240321,0.025,0,10.38717,100,0
0.0233879,0.026,0,10.04656,100,0
0.02437249,0.027,0,9.731533,100,0
0.02536062,0.028,0,9.426381,100,0
0.02636196,0.029,0,9.096703,100,0
0.02736317,0.03,0,8.789449,100,0
0.02835882,0.031,0,8.519942,100,0
0.02935893,0.032,0,8.253334,100,0
0.03035744,0.033,0,8.007754,100,0
0.03134837,0.034,0,7.798906,100,0
0.0323413,0.035,0,7.596272,100,0
0.03334175,0.03599999,0,7.384013,100,0
0.03434458,0.03699999,0,7.176794,100,0
0.03533872,0.03799999,0,7.003351,100,0
0.03633905,0.03899999,0,6.822919,100,0
0.03734894,0.03999999,0,6.627629,100,0
0.03835744,0.04099999,0,6.445227,100,0
0.03935874,0.04199998,0,6.288674,100,0
0.04035397,0.04299998,0,6.153523,100,0
0.04135039,0.04399998,0,6.021791,100,0
0.04234183,0.04499998,0,5.907005,100,0
0.04333695,0.04599998,0,5.789193,100,0
0.04434353,0.04699998,0,5.652005,100,0
0.04534104,0.04799997,0,5.539455,100,0
0.04633294,0.04899997,0,5.442918,100,0
0.04733472,0.04999997,0,5.330513,100,0
0.04833023,0.05099997,0,5.234796,100,0
0.04931962,0.05199997,0,5.154509,100,0
0.05030872,0.05299997,0,5.07782,100,0
0.05130256,0.05399996,0,4.995197,100,0
0.05230494,0.05499996,0,4.90004,100,0
0.05331168,0.05599996,0,4.800512,100,0
0.05432399,0.05699996,0,4.694693,100,0
0.05533052,0.05799996,0,4.602484,100,0
0.05633876,0.05899996,0,4.510503,100,0
0.05734496,0.05999995,0,4.42499,100,0
0.05834163,0.06099995,0,4.357909,100,0
0.05934299,0.06199995,0,4.285427,100,0
