predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
0.001886531,0.00163785,0,15.18338,100
0.001786665,0.001539224,0,16.07572,100
0.001687301,0.00144109,0,17.08501,100
0.001588431,0.001343448,0,18.23541,100
0.001490051,0.001246293,0,19.55864,100
0.00139218,0.001149625,0,21.09868,100
0.001294796,0.001053439,0,22.91128,100
0.001197886,0.0009577351,0,25.07485,100
0.001101463,0.0008625093,0,27.70453,100
0.001005514,0.0007677596,0,30.96725,100
0.000910043,0.0005954553,0,52.83144,100
0.0008150635,0.0004240126,0,92.22626,100
0.0006815416,0.0002534271,0,168.9301,100
0.0005096608,8.369448E-05,0,508.9539,100
0.0003386461,8.518946E-05,0,297.5211,100
0.0001684919,0.000253229,0,33.46262,100
8.112547E-07,0.0004204283,0,99.80704,100
0.0001692603,0.0005867916,0,71.15495,100
0.0003368781,0.0007523231,0,55.22162,100
0.0005036594,0.000917027,0,45.07692,100
0.000669602,0.001080907,0,38.05186,100
0.0008347115,0.001243968,0,32.89929,100
0.0009989963,0.001406214,0,28.95844,100
0.001162473,0.001567648,0,25.84604,100
0.001325128,0.001728276,0,23.32658,100
0.00148696,0.0018881,0,21.24567,100
0.001647983,0.002047125,0,19.49768,100
0.001808211,0.002205354,0,18.00813,100
0.001967641,0.002362793,0,16.72395,100
0.002126265,0.002519445,0,15.60579,100
0.002284091,0.002675313,0,14.62341,100
0.002441136,0.002830402,0,13.75303,100
0.002597393,0.002984715,0,12.97687,100
0.002752855,0.003138257,0,12.28075,100
0.00290755,0.003291031,0,11.65231,100
0.003061477,0.003443041,0,11.08218,100
0.00321463,0.003809375,0,15.61266,100
0.003367007,0.004173876,0,19.3314,100
0.003626158,0.004536555,0,20.06803,100
0.003991562,0.004897421,0,18.49664,100
0.004355156,0.005256482,0,17.14694,100
0.00471694,0.005613748,0,15.97521,100
0.005076911,0.005969228,0,14.94861,100
0.005435073,0.00632293,0,14.04186,100
0.005791452,0.006674864,0,13.2349,100
0.006146048,0.007025038,0,12.51224,100
0.006498865,0.007214217,0,9.915867,100
0.006849928,0.00740245,0,7.464042,100
0.007119616,0.007589742,0,6.194223,100
0.007308322,0.007776097,0,6.015555,100
0.007496082,0.007961521,0,5.846109,100
0.007682911,0.008146018,0,5.685074,100
0.007868806,0.008329592,0,5.531913,100
0.008053774,0.008512248,0,5.386054,100
0.008237815,0.008693991,0,5.247034,100
0.00842093,0.008874825,0,5.11441,100
0.008603134,0.009101554,0,5.476203,100
0.008784431,0.009327149,0,5.818691,100
0.008988215,0.009551616,0,5.898496,100
0.009214374,0.009774962,0,5.734931,100
0.009439392,0.00999719,0,5.579547,100
0.009663293,0.01021831,0,5.431567,100
0.00988609,0.01043832,0,5.290407,100
0.01010776,0.01065723,0,5.155852,100
0.01032831,0.01087505,0,5.027416,100
0.01054777,0.01112521,0,5.190411,100
0.01076613,0.01137413,0,5.345425,100
0.01100012,0.01162179,0,5.349213,100
0.01124965,0.01186823,0,5.211988,100
0.01149793,0.01211342,0,5.081078,100
0.01174498,0.0123574,0,4.955846,100
0.01199081,0.01260015,0,4.835998,100
0.01223539,0.01284169,0,4.721351,100
0.01247875,0.01308202,0,4.611449,100
0.01272089,0.0133547,0,4.745955,100
0.01296182,0.01362601,0,4.874477,100
0.01321833,0.01389597,0,4.876533,100
0.01349032,0.01416458,0,4.76017,100
0.01376093,0.01443184,0,4.648824,100
0.0140302,0.01469777,0,4.54197,100
0.01429814,0.01496237,0,4.439303,100
0.01456475,0.01522564,0,4.340655,100
0.01483001,0.0154876,0,4.245914,100
0.01509395,0.01582015,0,4.590318,100
0.01535658,0.01615103,0,4.918847,100
0.01565384,0.01648025,0,5.014564,100
0.01598556,0.01680784,0,4.89224,100
0.01631563,0.01713378,0,4.775071,100
0.01664404,0.01745809,0,4.662894,100
0.01697079,0.01778078,0,4.555434,100
0.01729592,0.01810186,0,4.452241,100
0.01761944,0.01839276,0,4.20451,100
0.01794133,0.01868221,0,3.965718,100
0.01824732,0.01897021,0,3.810652,100
0.01853751,0.01925677,0,3.735104,100
0.01882624,0.0195419,0,3.662182,100
0.01911352,0.0198256,0,3.591738,100
0.01939936,0.02010789,0,3.523613,100
0.01968377,0.02038876,0,3.457715,100
0.01996677,0.02074818,0,3.766168,100
0.02024836,0.02110581,0,4.062652,100
0.02056851,0.02146165,0,4.161546,100
0.02092705,0.02181571,0,4.073463,100
0.02128379,0.022168,0,3.988655,100
0.02163875,0.02251853,0,3.906914,100
0.02199192,0.0228673,0,3.828094,100
0.02234332,0.02322691,0,3.804158,100
0.02269299,0.02358473,0,3.781012,100
0.02304719,0.02394075,0,3.732393,100
0.0234059,0.024295,0,3.659594,100
