predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
4.961552,4.93083,4.942881,0.6230623,0.2444032,114
4.949199,4.918562,4.930973,0.6228907,0.2523322,114
4.936887,4.906325,4.918609,0.6229087,0.2503667,114
4.924599,4.894118,4.906173,0.622806,0.2463145,114
4.912343,4.881942,4.894218,0.6227184,0.2514608,114
4.900127,4.869797,4.881855,0.6228223,0.2476034,114
4.887941,4.857681,4.86995,0.6229327,0.2525695,114
4.875788,4.845596,4.857506,0.6230791,0.2457894,114
4.863658,4.833541,4.845636,0.6230842,0.2502202,114
4.85155,4.821517,4.833694,0.6228976,0.2525651,114
4.839468,4.809522,4.821313,0.6226467,0.2451643,114
4.827421,4.797557,4.809367,0.62248,0.2461633,114
4.815405,4.785622,4.797421,0.6223485,0.2465381,114
4.803426,4.773717,4.785583,0.6223423,0.2485713,114
4.791482,4.761842,4.773612,0.6224423,0.2471785,114
4.779566,4.749997,4.761721,0.6225088,0.2468211,114
4.767682,4.738181,4.749754,0.6226221,0.2442565,114
4.755826,4.726394,4.738327,0.622712,0.2524625,114
4.743996,4.714637,4.726435,0.6227173,0.2502298,114
4.732205,4.70291,4.71448,0.6229115,0.2460275,114
4.720439,4.691212,4.703028,0.6230317,0.2518758,114
4.708694,4.679543,4.691103,0.6229447,0.2470319,114
4.696984,4.667903,4.679713,0.6229964,0.2530006,114
4.685301,4.656293,4.667763,0.6229932,0.2463299,114
4.673641,4.644711,4.656323,0.6228424,0.2499932,114
4.662006,4.633159,4.64485,0.6226355,0.2523353,114
4.650406,4.621635,4.632937,0.6225373,0.2445454,114
4.638843,4.61014,4.621485,0.6226001,0.246086,114
4.627313,4.598674,4.610074,0.622763,0.2479024,114
4.615806,4.587236,4.598609,0.6228085,0.2479176,114
4.604314,4.91303,4.587211,6.283613,6.631733,114
4.592844,4.900794,4.575716,6.283677,6.633152,114
4.750009,4.888587,4.900928,2.834733,0.2524358,114
4.906779,4.876412,4.888505,0.6227401,0.2479911,114
4.894555,4.864267,4.876664,0.6226579,0.2548547,114
4.882364,4.852152,4.864228,0.6226599,0.2488871,114
4.870191,4.840067,4.852299,0.6223722,0.2527103,114
4.858052,4.828013,4.839897,0.622178,0.2461512,114
4.845952,4.815989,4.827938,0.622167,0.2481223,114
4.833881,4.803994,4.816059,0.6221223,0.2511438,114
4.821845,4.79203,4.804151,0.6221731,0.252945,114
4.809839,4.780096,4.792171,0.6222301,0.2526289,114
4.797863,4.768191,4.78033,0.6222935,0.2545796,114
4.785918,4.756317,4.768375,0.6223634,0.2535309,114
4.77399,4.744472,4.756451,0.6221684,0.2524855,114
4.762088,4.732656,4.744534,0.6218981,0.2509698,114
4.750224,4.72087,4.732554,0.6217942,0.2474955,114
4.7384,4.709114,4.720755,0.6218985,0.247202,114
4.726605,4.697387,4.709202,0.6220198,0.2515243,114
4.714834,4.685689,4.69731,0.6220055,0.2480105,114
4.703087,4.67402,4.685912,0.6218749,0.2544243,114
4.691364,4.662381,4.673941,0.6216376,0.247931,114
4.679674,4.650771,4.66256,0.621467,0.2534713,114
4.668012,4.63919,4.650542,0.6212608,0.2446992,114
4.656374,4.627638,4.639178,0.6209775,0.2493699,114
4.644776,4.616115,4.627687,0.6209059,0.2507052,114
4.633216,4.60462,4.616261,0.6210371,0.2528015,114
4.62168,4.593154,4.604799,0.621051,0.253526,114
4.610172,4.581717,4.593389,0.6210401,0.2547417,114
4.598696,4.570309,4.58197,0.6211088,0.2551376,114
4.587249,4.558929,4.5704,0.6212054,0.2516221,114
4.575827,4.547577,4.559044,0.6211937,0.2521453,114
4.564437,4.536254,4.547667,0.6212726,0.2515869,114
4.553077,4.52496,4.53616,0.6213902,0.2475255,114
4.54174,4.858799,4.525167,6.525461,6.866552,114
4.530433,4.846698,4.513715,6.525383,6.870306,114
4.691707,4.834627,4.846619,2.956184,0.2480336,114
4.852569,4.822587,4.834601,0.6217113,0.2491374,114
4.840476,4.810576,4.82279,0.6215388,0.2538928,114
4.828425,4.798595,4.810768,0.6216299,0.2536721,114
4.816398,4.786645,4.798362,0.621578,0.244782,114
4.804398,4.774724,4.78652,0.6214721,0.2470609,114
4.792426,4.762833,4.774562,0.6213317,0.246256,114
4.780472,4.750972,4.762708,0.6209257,0.2470314,114
4.768559,4.73914,4.751172,0.6207654,0.2538764,114
4.756687,4.727338,4.739285,0.6208325,0.2527147,114
4.744839,4.715565,4.727343,0.6207848,0.2497559,114
4.733021,4.703822,4.715467,0.6207531,0.2475714,114
4.721236,4.692108,4.70396,0.6207886,0.2526,114
4.709476,4.680424,4.692107,0.6207083,0.2496139,114
4.697747,4.668768,4.680658,0.620685,0.2546696,114
4.686066,4.657142,4.6687,0.6210571,0.2481689,114
4.674409,4.645545,4.657272,0.6213347,0.2524426,114
4.662763,4.633977,4.645301,0.6211879,0.2443777,114
4.651143,4.622438,4.633937,0.6209849,0.2487633,114
4.639556,4.610928,4.62243,0.6208805,0.2494567,114
4.627999,4.599446,4.611036,0.6207924,0.251987,114
4.616464,4.587993,4.599533,0.620544,0.2515247,114
4.604963,4.576569,4.588135,0.6204155,0.2527256,114
4.593494,4.565174,4.576712,0.6203661,0.2527506,114
4.582058,4.553806,4.565243,0.6204068,0.2511407,114
4.570652,4.542468,4.553812,0.6204543,0.2497311,114
4.559266,4.531157,4.542338,0.6203509,0.2467555,114
4.547918,4.519875,4.531375,0.6204435,0.2544292,114
4.536604,4.508621,4.519952,0.6206596,0.2513097,114
4.525319,4.497396,4.508478,0.6208729,0.2464237,114
4.51405,4.486198,4.497503,0.6208282,0.2519919,114
4.502805,4.792268,4.486151,6.04021,6.387729,114
4.491591,4.780314,4.475075,6.039833,6.385347,114
4.639023,4.768391,4.780309,2.713029,0.249939,114
4.786078,4.756497,4.768354,0.6218987,0.2492808,114
4.774131,4.744634,4.756446,0.621705,0.2489694,114
4.762217,4.7328,4.744458,0.6215568,0.2463377,114
4.750335,4.720995,4.732729,0.6214848,0.2485596,114
4.738486,4.70922,4.721085,0.6214693,0.2519555,114
4.726665,4.697474,4.709239,0.6214194,0.2504538,114
4.714879,4.685758,4.697335,0.6214671,0.2470706,114
4.703133,4.674071,4.685883,0.6217661,0.2526974,114
4.691416,4.662414,4.673962,0.6220424,0.2476838,114
4.679718,4.650785,4.662585,0.6221008,0.2537166,114
4.668051,4.639185,4.650521,0.6222173,0.24435,114
4.656415,4.627615,4.639203,0.6223511,0.2504118,114
4.644799,4.616074,4.627679,0.6222956,0.2514202,114
4.633215,4.604561,4.616256,0.6223086,0.2539957,114
4.621663,4.593077,4.60428,0.6223799,0.2439273,114
4.610145,4.581622,4.592946,0.6225518,0.2471598,114
4.59865,4.570195,4.58146,0.6226267,0.2464736,114
4.587175,4.558797,4.569957,0.6224785,0.2447887,114
4.575732,4.547428,4.558613,0.62242,0.2459774,114
4.56432,4.536087,4.547621,0.6224099,0.2542768,114
4.552938,4.524774,4.536131,0.6224485,0.2510028,114
4.541592,4.513489,4.524699,0.6226419,0.2483658,114
4.530267,4.502233,4.513272,0.6226628,0.2451846,114
4.518964,4.491005,4.502271,0.6225526,0.2508622,114
4.507697,4.479805,4.490823,0.6226083,0.2459437,114
4.496453,4.468633,4.479969,0.6225642,0.2536653,114
4.485235,4.457489,4.468378,0.6224518,0.2442867,114
4.474048,4.446373,4.457486,0.6224101,0.2499378,114
4.462895,4.435285,4.446494,0.6225255,0.2527236,114
4.451771,4.424224,4.435045,0.6226376,0.244593,114
4.440681,4.716085,4.424129,5.839683,6.190662,114
4.429623,4.704298,4.413174,5.838817,6.188486,114
4.57003,4.692541,4.704404,2.610769,0.2528002,114
4.710076,4.680813,4.692651,0.6251594,0.2528937,114
4.698307,4.669115,4.680583,0.6252143,0.2456228,114
4.686557,4.657445,4.669127,0.6250505,0.2508045,114
4.674847,4.645805,4.657314,0.6251078,0.2477276,114
4.66317,4.634194,4.645795,0.625254,0.2503239,114
4.651515,4.622612,4.63443,0.6252527,0.2556548,114
4.639885,4.611059,4.622484,0.6251543,0.2477743,114
4.628275,4.599535,4.611002,0.6248443,0.2493178,114
4.616695,4.588039,4.599592,0.6245806,0.2517924,114
4.60516,4.576573,4.588039,0.6246452,0.2505374,114
4.593655,4.565135,4.576679,0.624727,0.2528677,114
4.582169,4.553726,4.56523,0.6246168,0.2526426,114
4.570717,4.542345,4.553854,0.6246176,0.2533596,114
4.559294,4.530993,4.542321,0.6246146,0.2500269,114
4.547898,4.519669,4.530873,0.624597,0.2478997,114
4.536531,4.508373,4.519529,0.624586,0.2474631,114
4.525193,4.497105,4.508457,0.624571,0.2524304,114
4.513884,4.485866,4.497093,0.6245946,0.2502779,114
4.502601,4.474654,4.486067,0.6245611,0.2550503,114
4.491345,4.463471,4.47464,0.6245021,0.2502303,114
4.480118,4.452316,4.463668,0.6244496,0.2549805,114
4.468915,4.441188,4.452229,0.624307,0.2485868,114
4.457743,4.430089,4.441282,0.6242244,0.2526648,114
4.446608,4.419017,4.430273,0.624364,0.2547114,114
4.435487,4.407973,4.418833,0.6241866,0.2463602,114
4.424392,4.396957,4.40792,0.6239612,0.2493415,114
4.413325,4.385968,4.396898,0.6237524,0.2492161,114
4.402291,4.375006,4.385973,0.6236476,0.2506689,114
