-98.87035,-120.3827,-129.7021,-135.8479,-140.4815,-144.2239,-147.3773,-150.1121,-152.5338,-154.7126
-99.59389,-121.1272,-130.4675,-136.6343,-141.2888,-145.0521,-148.2264,-150.9821,-153.4248,-155.6245
-100.1115,-121.6608,-131.0171,-137.2,-141.8705,-145.6499,-148.8402,-151.612,-154.0707,-156.2864
-100.4457,-122.0058,-131.373,-137.5667,-142.2482,-146.0384,-149.2396,-152.0222,-154.4918,-156.7184
-100.6097,-122.1753,-131.548,-137.7472,-142.4341,-146.2298,-149.4365,-152.2246,-154.6997,-156.9318
-100.6097,-122.1753,-131.548,-137.7472,-142.4341,-146.2298,-149.4365,-152.2246,-154.6997,-156.9318
-100.4457,-122.0058,-131.373,-137.5667,-142.2482,-146.0384,-149.2396,-152.0222,-154.4918,-156.7184
-100.1115,-121.6608,-131.0171,-137.2,-141.8705,-145.6499,-148.8402,-151.612,-154.0707,-156.2864
-99.59389,-121.1272,-130.4675,-136.6343,-141.2888,-145.0521,-148.2264,-150.9821,-153.4248,-155.6245
-98.87035,-120.3827,-129.7021,-135.8479,-140.4815,-144.2239,-147.3773,-150.1121,-152.5338,-154.7126
